Vegetative
            Vermehrung;http://de.wikipedia.org/wiki/Endivie;null;null;null;null;null;null;0;0;0.0;
Endivie;http://de.wikipedia.org/wiki/Artischocke;MARCH;JULY;APRIL;AUGUST;JULY;NOVEMBER;15;90;30.0;
Artischocke;http://de.wikipedia.org/wiki/Römersalat;MARCH;APRIL;MAY;MAY;AUGUST;SEPTEMBER;20;180;75.0;
Römersalat;http://de.wikipedia.org/wiki/Eisbergsalat;FEBRUARY;JULY;APRIL;AUGUST;JUNE;SEPTEMBER;12;90;25.0;
Eisbergsalat;http://de.wikipedia.org/wiki/Gartensalat;MARCH;JULY;APRIL;AUGUST;JUNE;NOVEMBER;12;75;40.0;
Gartensalat;http://de.wikipedia.org/wiki/Schaumkräuter;MARCH;APRIL;MAY;AUGUST;MAY;NOVEMBER;12;65;30.0;
Schaumkräuter;http://de.wikipedia.org/wiki/Senf;null;null;MARCH;AUGUST;MAY;NOVEMBER;14;90;30.0;
Senf;http://de.wikipedia.org/wiki/Tetragonia;MARCH;AUGUST;MARCH;OCTOBER;APRIL;OCTOBER;4;90;15.0;
Tetragonia;http://de.wikipedia.org/wiki/Große_Kapuzinerkresse;MARCH;MAY;JUNE;JULY;JUNE;NOVEMBER;30;100;40.0;
Große
            Kapuzinerkresse;http://de.wikipedia.org/wiki/Portulak;null;null;APRIL;JUNE;JULY;SEPTEMBER;14;85;50.0;
Portulak;http://de.wikipedia.org/wiki/Gemeiner_Rhabarber;APRIL;AUGUST;JULY;AUGUST;JULY;SEPTEMBER;3;28;0.0;
Rhabarber;http://de.wikipedia.org/wiki/Rübstiel;APRIL;MAY;SEPTEMBER;DECEMBER;APRIL;AUGUST;8;360;50.0;
Rübstielchen;http://de.wikipedia.org/wiki/Gartensalat;JANUARY;FEBRUARY;MARCH;MAY;MAY;NOVEMBER;3;35;8.0;
Gartensalat;http://de.wikipedia.org/wiki/Mangold;FEBRUARY;AUGUST;APRIL;AUGUST;MAY;OCTOBER;10;65;30.0;
Mangold;http://de.wikipedia.org/wiki/Steckrübe;MARCH;AUGUST;MARCH;NOVEMBER;MAY;NOVEMBER;10;70;20.0;
Steckrübe;http://de.wikipedia.org/wiki/Römersalat;JANUARY;DECEMBER;MARCH;AUGUST;MARCH;SEPTEMBER;10;100;10.0;
Römersalat;http://de.wikipedia.org/wiki/Spinat;FEBRUARY;MARCH;APRIL;SEPTEMBER;APRIL;NOVEMBER;15;45;5.0;
Spinat;http://en.wikipedia.org/wiki/Celtuce;JANUARY;FEBRUARY;JANUARY;AUGUST;APRIL;NOVEMBER;10;35;5.0;
Stamm Salat (en);http://de.wikipedia.org/wiki/Gartenkresse;null;null;MARCH;JULY;JULY;OCTOBER;10;60;20.0;
Gartenkresse;http://de.wikipedia.org/wiki/Gewöhnlicher_Feldsalat;JANUARY;DECEMBER;MARCH;OCTOBER;JANUARY;DECEMBER;3;12;0.0;
Feldsalat;http://de.wikipedia.org/wiki/Echte_Brunnenkresse;null;null;MARCH;SEPTEMBER;APRIL;DECEMBER;15;75;5.0;
Brunnenkresse;http://de.wikipedia.org/wiki/Gewöhnliches_Tellerkraut;null;null;MARCH;JUNE;APRIL;NOVEMBER;15;50;20.0;
Winterpostelein;http://de.wikipedia.org/wiki/Kartoffel;JULY;OCTOBER;AUGUST;OCTOBER;JANUARY;DECEMBER;3;30;0.0;
Kartoffel;http://de.wikipedia.org/wiki/Topinambur;MARCH;APRIL;APRIL;JUNE;JULY;SEPTEMBER;20;120;40.0;
Topinambur;http://de.wikipedia.org/wiki/Rote_Bete;null;null;MARCH;APRIL;OCTOBER;NOVEMBER;10;300;40.0;
Rote Bete;http://de.wikipedia.org/wiki/Echter_Sellerie#Knollensellerie;null;null;FEBRUARY;MARCH;APRIL;JUNE;15;85;10.0;
Knollensellerie;http://de.wikipedia.org/wiki/Steckrübe;FEBRUARY;MARCH;APRIL;MAY;SEPTEMBER;DECEMBER;20;260;35.0;
Steckrübe;http://de.wikipedia.org/wiki/Pastinak;null;null;APRIL;JUNE;OCTOBER;DECEMBER;15;135;35.0;
Pastinak;http://de.wikipedia.org/wiki/Speiserübe;MARCH;null;APRIL;APRIL;OCTOBER;DECEMBER;15;260;30.0;
Speiserübe;http://de.wikipedia.org/wiki/Radieschen;null;null;MARCH;MAY;JULY;OCTOBER;12;70;10.0;
